generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,EstAgent,51,0,51,0,0,0,1.0,0.0,1.0,1
0,estagent_numpyWC,49,0,49,0,0,0,1.0,0.0,1.0,1
1,EstAgent,51,51,0,0,0,0,2.0,0.0,2.0,2
1,estagent_numpyWC,49,49,0,0,0,0,2.0,0.0,2.0,2
2,EstAgent,51,0,51,0,0,0,3.0,0.0,3.0,3
2,estagent_numpyWC,49,0,49,0,0,0,3.0,0.0,3.0,3
3,EstAgent,51,0,51,0,0,0,4.0,0.0,4.0,4
3,estagent_numpyWC,49,0,49,0,0,0,4.0,0.0,4.0,4
4,EstAgent,51,0,51,0,0,0,5.0,0.0,5.0,5
4,estagent_numpyWC,49,0,49,0,0,0,5.0,0.0,5.0,5
5,EstAgent,51,0,51,0,0,0,6.0,0.0,6.0,6
5,estagent_numpyWC,49,0,49,0,0,0,6.0,0.0,6.0,6
6,EstAgent,51,0,51,0,0,0,7.0,0.0,7.0,7
6,estagent_numpyWC,49,0,49,0,0,0,7.0,0.0,7.0,7
7,EstAgent,51,0,51,0,0,0,8.0,0.0,8.0,8
7,estagent_numpyWC,49,0,49,0,0,0,8.0,0.0,8.0,8
8,EstAgent,51,0,51,0,0,0,9.0,0.0,9.0,9
8,estagent_numpyWC,49,0,49,0,0,0,9.0,0.0,9.0,9
9,EstAgent,51,0,51,0,0,0,10.0,0.0,10.0,10
9,estagent_numpyWC,49,0,49,0,0,0,10.0,0.0,10.0,10
10,EstAgent,51,0,51,0,0,0,11.0,0.0,11.0,11
10,estagent_numpyWC,49,0,49,0,0,0,11.0,0.0,11.0,11
11,EstAgent,51,1,48,2,0,4.0,12.0,0.0,12.0,12
11,estagent_numpyWC,49,2,44,3,0,12.0,12.0,0.0,12.0,12
12,EstAgent,50,2,46,2,0,12.0,13.0,0.0,13.0,13
12,estagent_numpyWC,50,2,48,0,0,0,12.28,2.84984210089,13.0,13
13,EstAgent,50,1,47,2,0,18.0,13.74,1.82,14.0,14
13,estagent_numpyWC,50,2,47,1,0,4.0,13.02,3.32559769064,14.0,14
14,EstAgent,50,3,45,2,0,20.0,14.74,1.82,15.0,15
14,estagent_numpyWC,50,2,45,3,0,26.0,14.02,3.32559769064,15.0,15
15,EstAgent,47,2,42,3,0,12.0,15.4042553191,2.83338437185,16.0,16
15,estagent_numpyWC,53,0,48,5,0,18.0,14.2264150943,4.57491729767,16.0,16
16,EstAgent,47,0,37,10,0,50.0,15.7234042553,4.20082123511,17.0,17
16,estagent_numpyWC,53,0,43,10,0,60.0,14.9245283019,4.95964490742,17.0,17
17,EstAgent,48,0,40,8,0,52.0,16.3958333333,4.72466746331,18.0,18
17,estagent_numpyWC,52,0,37,15,0,122.0,15.8461538462,5.10423886959,18.0,18
18,EstAgent,47,0,25,22,0,280.0,16.9787234043,5.31352894597,19.0,19
18,estagent_numpyWC,53,0,28,25,0,274.0,16.2075471698,5.87722977539,19.0,19
19,EstAgent,46,0,13,33,0,458.0,18.2826086957,4.95046349819,20.0,20
19,estagent_numpyWC,54,0,17,37,0,476.0,16.2037037037,6.87017070689,20.0,20
20,EstAgent,46,0,10,36,0,518.0,19.2826086957,4.95046349819,21.0,21
20,estagent_numpyWC,54,0,11,43,0,674.0,16.462962963,7.47269836475,21.0,21
21,EstAgent,46,0,7,39,0,606.0,19.8260869565,5.68485534911,22.0,22
21,estagent_numpyWC,54,0,4,50,0,786.0,17.462962963,7.47269836475,22.0,22
22,EstAgent,45,0,3,42,0,640.0,20.7777777778,5.73832685212,23.0,23
22,estagent_numpyWC,55,0,3,52,0,818.0,18.1454545455,7.76335958629,23.0,23
23,EstAgent,44,0,2,42,0,638.0,20.6818181818,7.19460886318,24.0,24
23,estagent_numpyWC,56,0,1,55,0,808.0,18.8214285714,8.06027991108,24.0,24
24,EstAgent,44,0,0,44,0,676.0,21.6818181818,7.19460886318,25.0,25
24,estagent_numpyWC,56,0,4,52,0,810.0,19.6607142857,8.33940042748,25.0,25
25,EstAgent,45,0,3,42,0,658.0,21.6444444444,8.37763041427,26.0,26
25,estagent_numpyWC,55,0,3,52,0,810.0,20.1090909091,8.74626720851,26.0,26
26,EstAgent,45,0,1,44,0,690.0,22.6444444444,8.37763041427,27.0,27
26,estagent_numpyWC,55,0,3,52,0,810.0,21.1090909091,8.74626720851,27.0,27
27,EstAgent,45,0,1,44,0,686.0,23.6444444444,8.37763041427,28.0,28
27,estagent_numpyWC,55,0,2,53,0,826.0,21.8363636364,9.1567434393,28.0,28
28,EstAgent,45,0,1,44,0,688.0,24.6444444444,8.37763041427,29.0,29
28,estagent_numpyWC,55,0,1,54,0,842.0,22.8363636364,9.1567434393,29.0,29
29,EstAgent,45,0,1,44,0,688.0,25.6444444444,8.37763041427,30.0,30
29,estagent_numpyWC,55,0,3,52,0,810.0,22.7818181818,10.015789188,30.0,30
30,EstAgent,45,0,1,44,0,688.0,26.6444444444,8.37763041427,31.0,31
30,estagent_numpyWC,55,0,2,53,0,826.0,23.6909090909,10.1978121134,31.0,31
31,EstAgent,45,0,3,42,0,656.0,26.6666666667,9.80929264637,32.0,32
31,estagent_numpyWC,55,0,4,51,0,794.0,23.5818181818,11.4235656097,32.0,32
32,EstAgent,45,0,4,41,0,598.0,26.9555555556,10.5302855412,33.0,33
32,estagent_numpyWC,55,0,6,49,0,734.0,24.0,11.7890550165,33.0,33
33,EstAgent,43,0,2,41,0,598.0,27.976744186,10.680319593,34.0,34
33,estagent_numpyWC,57,0,7,50,0,750.0,23.8947368421,12.7192135508,34.0,34
34,EstAgent,45,0,3,42,0,614.0,27.7333333333,11.9264412127,35.0,35
34,estagent_numpyWC,55,0,4,51,0,774.0,24.9636363636,12.739293025,35.0,35
35,EstAgent,44,0,1,43,0,642.0,27.7727272727,12.6344831825,36.0,36
35,estagent_numpyWC,56,0,7,49,0,762.0,24.2678571429,13.649294947,36.0,36
36,EstAgent,44,0,0,44,0,658.0,28.7727272727,12.6344831825,37.0,37
36,estagent_numpyWC,56,0,4,52,0,810.0,25.25,13.6803430408,37.0,37
37,EstAgent,44,0,0,44,0,658.0,29.7727272727,12.6344831825,38.0,38
37,estagent_numpyWC,56,0,3,53,0,826.0,25.5892857143,13.9869541075,38.0,38
38,EstAgent,42,0,0,42,0,626.0,30.380952381,12.8005810526,39.0,39
38,estagent_numpyWC,58,0,5,53,0,826.0,25.2586206897,14.865558835,33.0,39
